Sex,Fare,Age,Survived
male,108.9,18,0
female,26,33,1
male,22.525,28,0
male,56.4958,26,1
male,7.75,29,1
male,26.2875,36,1
female,59.4,54,1
male,7.4958,24,0
male,34.0208,47,0
female,10.5,34,1
female,26,36,1
male,7.8958,32,0
female,93.5,30,1
male,7.8958,22,0
female,57.9792,44,1
male,7.75,41,0
female,10.5,50,1
male,7.925,39,0
male,11.5,23,0
female,26,2,1
male,7.2292,17,0
female,8.6625,30,0
female,26.25,7,1
male,26.55,45,0
female,106.425,30,1
female,49.5,22,1
female,71,36,1
female,31.275,9,0
female,31.275,11,0
male,26,32,1
male,106.425,50,0
male,26,64,0
female,26,19,1
male,20.525,33,0
male,36.75,8,1
male,110.8833,17,1
male,26,27,0
male,7.225,22,1
female,7.775,22,1
male,26.55,62,0
female,39.6,48,1
female,79.65,39,1
female,17.4,36,1
male,7.8958,40,0
male,13.5,28,0
male,24.15,24,0
male,7.8958,19,0
female,21.075,29,0
male,7.8542,32,1
male,10.5,62,1
female,51.4792,53,1
male,26.3875,36,1
male,8.05,16,0
male,14.5,19,0
female,13,34,1
female,55.9,39,1
male,7.925,32,1
female,30,25,1
female,110.8833,39,1
male,26,54,0
male,40.125,36,0
female,79.65,18,1
male,15,47,0
male,79.2,60,1
male,8.05,22,0
male,7.125,35,0
female,78.2667,52,1
male,7.25,47,0
male,26,37,0
male,24.15,36,0
male,0,49,0
male,56.9292,49,1
female,27,24,1
male,8.05,44,0
male,26.55,35,1
male,15.55,36,0
male,7.8958,30,0
male,30.5,27,1
female,41.5792,22,1
female,153.4625,40,1
female,31.275,39,0
male,8.05,35,0
female,65,24,1
male,14.4,34,0
female,16.1,26,0
female,39,4,1
male,10.5,26,0
male,14.4542,27,0
male,52.5542,42,1
male,15.7417,20,1
male,7.8542,21,0
male,16.1,21,0
male,32.3208,61,0
male,12.35,57,0
female,77.9583,21,1
male,7.8958,26,0
male,30,80,1
male,7.0542,51,0
male,30.5,32,1
female,27.9,9,0
female,13,28,1
male,7.925,32,0
male,26.25,31,0
female,39.6875,41,0
male,7.8542,20,0
female,69.3,24,1
female,27.9,2,0
female,19.2583,1,1
male,76.7292,48,1
male,7.8958,19,0
male,35.5,56,1
female,7.55,23,1
female,23,18,1
male,8.4333,21,0
female,6.75,18,0
male,73.5,24,0
female,15.5,32,0
male,13,23,0
male,113.275,58,0
male,133.65,50,1
male,7.225,40,0
male,25.5875,47,0
male,7.4958,36,0
male,7.925,20,1
male,73.5,32,0
male,13,25,0
male,8.05,43,0
female,39,40,1
male,52,31,0
male,10.5,70,0
male,13,31,1
male,7.775,18,0
male,8.05,25,0
female,9.8417,18,1
female,46.9,43,0
male,512.3292,36,1
male,76.7292,27,1
male,9.225,20,0
male,46.9,14,0
male,39,60,0
male,41.5792,25,0
male,39.6875,14,0
male,10.1708,19,0
male,7.7958,18,0
female,211.3375,15,1
male,57,31,1
female,13.4167,4,1
male,7.225,25,0
male,26.55,60,0
male,13.5,52,0
male,8.05,44,0
male,110.8833,49,0
male,7.65,42,0
female,227.525,18,1
male,26.2875,35,1
female,14.4542,18,0
male,7.7417,25,0
male,7.8542,26,0
male,26,39,0
female,13.5,45,1
male,26.2875,42,1
female,151.55,22,1
female,49.5042,24,1
male,52,48,1
male,9.4833,29,0
male,13,52,0
male,7.65,19,0
female,227.525,38,1
female,10.5,27,1
male,7.775,33,0
female,33,6,1
male,7.0542,17,0
male,13,34,0
male,13,50,0
male,53.1,27,1
male,8.6625,20,0
female,21,30,1
male,26,25,0
female,7.925,25,0
female,211.3375,29,1
male,18.7875,11,0
male,13,23,0
male,13,23,0
male,16.1,29,0
female,34.375,48,0
male,512.3292,35,1
male,78.85,36,0
female,262.375,21,1
male,16.1,24,0
male,7.925,31,1
male,71,70,0
male,20.25,16,0
female,13,30,1
male,53.1,19,0
male,7.75,31,0
female,23,4,1
male,12.475,6,1
male,9.5,33,0
male,7.8958,23,0
female,65,48,1
male,14.5,1,1
male,7.7958,28,0
male,11.5,18,0
male,8.05,34,0
female,86.5,33,1
male,7.125,41,0
male,7.2292,20,1
female,120,36,1
male,7.775,16,0
female,77.9583,51,1
female,7.75,31,0
male,8.3625,32,0
male,9.5,24,0
male,7.8542,48,0
female,10.5,57,0
female,23,54,1
male,7.75,18,0
female,12.475,5,1
female,211.3375,43,1
female,7.2292,13,1
female,57,17,1
male,30,29,0
male,7.05,25,0
male,7.25,25,0
female,7.4958,18,1
male,29.125,8,0
male,20.575,1,1
male,79.2,46,0
male,26,16,0
male,7.8958,25,0
male,13,39,0
female,25.9292,49,1
female,8.6833,31,1
male,7.2292,30,0
female,24.15,30,0
male,13,34,0
female,26.25,31,1
male,120,11,1
male,8.5167,0,1
male,6.975,27,1
male,7.775,31,0
male,0,39,0
female,7.775,18,0
male,13,39,0
female,53.1,33,1
male,7.8875,26,0
male,24.15,39,0
male,10.5,35,0
female,31.275,6,0
male,8.05,31,0
female,7.925,23,0
male,37.0042,31,0
male,6.45,43,0
male,27.9,10,0
female,93.5,52,1
male,8.6625,27,1
male,0,38,0
female,12.475,27,1
male,39.6875,2,0
male,37.0042,1,1
female,80,62,1
female,14.4542,15,1
male,18.75,1,1
male,7.8542,23,0
male,8.3,18,0
female,83.1583,39,1
male,8.6625,21,0
male,56.4958,32,1
male,7.925,20,0
male,10.5,16,0
female,31,30,1
male,6.4375,35,0
male,8.6625,17,0
male,7.55,42,0
male,7.8958,35,0
male,33,28,0
male,31.275,4,0
male,7.775,74,0
female,15.2458,9,0
female,39.4,16,1
female,26,44,0
female,9.35,18,1
female,164.8667,45,1
male,26.55,51,1
female,19.2583,24,1
male,14.1083,41,0
male,11.5,21,0
female,25.9292,48,1
male,13,24,0
female,13,42,1
female,13.8583,27,1
male,50.4958,31,0
male,11.1333,4,1
male,7.8958,26,0
female,52.5542,47,1
male,5,33,0
male,9,47,0
female,24,28,1
female,7.225,15,1
male,9.8458,20,0
male,7.8958,19,0
female,83.1583,56,1
female,26,25,1
male,7.8958,33,0
female,10.5167,22,0
male,10.5,28,0
male,7.05,25,0
female,29.125,39,0
male,13,27,0
female,30,19,1
male,30,26,1
male,7.75,32,0
